dev;iodepth;iops;50th;99th
/dev/nvme0n1;1;93678.93;43.691;43.6
/dev/nvme0n1;2;173894.23;46.421;46.4
/dev/nvme0n1;4;344590.57;47.787;47.7
/dev/nvme0n1;8;451235.60;58.709;58.7
/dev/nvme0n1;16;477234.10;76.800;76.8
/dev/nvme0n1;32;488214.83;115.371;115.3
