engine;dev;iodepth;iops;50th;99th
spdk;/dev/nvme0n1;1;120369.43;8.192;40.789
spdk;/dev/nvme0n1;2;244728.68;7.936;41.984
spdk;/dev/nvme0n1;4;465991.23;8.192;42.496
spdk;/dev/nvme0n1;8;593699.70;12.885;56.320
spdk;/dev/nvme0n1;16;586643.93;26.283;74.752
spdk;/dev/nvme0n1;32;586635.96;52.907;102.400
spdk;/dev/nvme0n1;64;586628.91;106.496;170.667
spdk;/dev/nvme0n1;128;586628.63;219.819;282.624
spdk;/dev/nvme0n1;256;586627.31;434.176;507.904
spdk;/dev/nvme0n1;512;586625.96;873.813;955.733
spdk;/dev/nvme0n1;1024;586640.98;1747.627;1845.931
aio;/dev/nvme0n1;1;93599.33;10.581;43.179
aio;/dev/nvme0n1;2;173922.17;11.349;45.739
aio;/dev/nvme0n1;4;344247.40;11.093;47.787
aio;/dev/nvme0n1;8;448283.03;17.493;58.027
aio;/dev/nvme0n1;16;478132.83;33.109;76.459
aio;/dev/nvme0n1;32;486721.50;65.536;163.840
aio;/dev/nvme0n1;64;488214.20;131.072;258.048
aio;/dev/nvme0n1;128;492714.77;259.413;329.045
aio;/dev/nvme0n1;256;494078.57;518.827;731.819
aio;/dev/nvme0n1;512;491871.70;1043.115;2009.771
aio;/dev/nvme0n1;1024;493067.47;2075.307;3604.480
