dev;iodepth;iops;50th;99th
/dev/nvme0n1;1;93863.30;10.539;43.520
/dev/nvme0n1;2;174131.23;11.264;46.421
/dev/nvme0n1;4;345484.33;11.093;48.128
/dev/nvme0n1;8;451735.43;17.323;58.709
/dev/nvme0n1;16;481562.10;32.939;76.459
/dev/nvme0n1;32;490850.47;65.195;109.909
