engine;dev;iodepth;iops;50th;99th
spdk;/dev/nvme0n1;1;120202.48;8.192;40.789
aio;/dev/nvme0n1;1;93805.93;10.539;43.008
spdk;/dev/nvme0n1;2;244387.56;7.936;41.984
aio;/dev/nvme0n1;2;173613.30;11.349;45.739
spdk;/dev/nvme0n1;4;465966.08;8.192;42.496
aio;/dev/nvme0n1;4;342419.27;11.093;53.931
spdk;/dev/nvme0n1;8;593542.93;12.885;55.979
aio;/dev/nvme0n1;8;450115.40;17.408;58.027
